County,School,GradeTested,MathMetStandard,ReadingMetStandard,WritingMetStandard,ScienceMetStandard,MathTotalTested,ReadingTotalTested,WritingTotalTested,ScienceTotalTested,TotalEnrollment,PercentWhite,StudentsPerClassroomTeacher,FreeorReducedPricedMeals,AvgYearsEducationalExperience,PercentTeachersWithAtLeastMasterDegree
Grant,MLC/Discover Elementary,5,22,38,NA,21,40,40,0,40,429,61.7716,16,43.5798,15.8,70.4
Grant,Larson Heights Elementary,5,26,42,NA,8,53,53,0,53,360,59.1667,13,83.7607,14.4,59.3
Grant,Garden Heights Elementary,5,62,68,NA,48,79,79,0,79,521,73.3205,20,33.7187,15.3,69.2
Grant,Longview Elementary,5,38,58,NA,28,74,74,0,74,517,57.06,18,62.8253,14.8,78.6
Grant,Moses Lake High School,10,189,305,299,139,376,358,353,355,1828,68.8731,23,39.3414,16.6,77.8
Grant,North Elementary,5,28,37,NA,8,37,37,0,40,368,55.7065,14,83.9572,17.9,65.4
Grant,Parkway School,5,78,128,NA,58,157,156,0,157,342,77.4854,18,51.4451,15.9,57.9
Grant,Ephrata High School,10,79,123,118,70,133,134,135,137,653,81.1639,16,34.56,12.8,56.1
Grant,Wilson Creek High,10,5,11,9,6,11,11,11,11,69,89.8551,8,54.1667,21.7,77.8
Grant,Grand Coulee Dam Middle School,5,22,31,NA,10,37,37,0,41,222,50.9009,15,52.6786,16.3,40
Grant,Lake Roosevelt High School,10,22,58,53,14,67,70,69,70,278,43.8849,15,32.6996,18.6,57.9
Grays Harbor,Mcdermoth Elementary,5,30,37,NA,10,53,53,0,52,365,70.137,17,48.8,13.4,40.9
Grays Harbor,Robert Gray Elementary,5,17,27,NA,6,40,39,0,42,352,70.4545,17,69.6429,10.1,71.4
Grays Harbor,A J West Elementary,5,21,45,NA,8,63,64,0,66,402,61.6915,15,73.9348,12.3,76.9
Grays Harbor,Stevens Elementary School,5,32,39,NA,7,49,48,0,48,419,71.3604,17,74.1379,15.3,54.2
Grays Harbor,Alexander Young Elementary,5,7,10,NA,0,21,20,0,22,155,72.9032,16,62.6667,15.1,50
Grays Harbor,Central Park Elementary,5,23,30,NA,15,36,35,0,36,225,86.6667,19,32.1586,16.1,50
Grays Harbor,J M Weatherwax High School,10,101,208,193,58,239,242,240,222,1050,79.8095,18,39.6603,12.4,51.7
Grays Harbor,Harbor High School,10,1,6,10,1,22,15,25,14,252,67.8571,16,71.7489,12.8,43.8
Grays Harbor,Washington Elementary School,5,31,35,NA,15,40,41,0,41,398,59.799,17,53.7662,7.3,62.5
Grays Harbor,Central Elementary School,5,25,34,NA,19,47,47,0,47,246,76.4228,21,60.4839,15.1,66.7
Grays Harbor,Lincoln Elementary,5,14,31,NA,3,41,41,0,43,432,82.4074,18,33.3333,15.9,58.3
Grays Harbor,Hoquiam High School,10,76,132,129,58,150,147,149,145,753,81.4077,19,46.6472,12.6,53.8
Grays Harbor,North Beach High School,10,29,56,51,17,71,69,66,65,239,74.477,11,45.0216,13.6,31.8
Grays Harbor,Pacific Beach Elementary School,5,2,5,NA,0,10,11,0,10,107,60.7477,12,54.7368,14.9,33.3
Grays Harbor,Ocean Shores Elementary,5,17,27,NA,12,44,45,0,49,232,85.7759,15,43.9216,9.2,31.3
Grays Harbor,Mccleary Elem,5,13,21,NA,7,33,33,0,29,284,93.662,18,0,16.4,43.8
Grays Harbor,Montesano Jr-Sr High,10,69,107,93,25,115,116,114,110,687,91.9942,20,24.2921,14.3,67.6
Grays Harbor,Simpson Avenue Elementary,5,53,80,NA,39,89,90,0,94,261,85.0575,15,34.981,14.4,77.8
Grays Harbor,Elma High School,10,66,139,126,44,163,163,161,140,732,89.7541,18,29.1362,18.7,75.6
Grays Harbor,Elma Elementary School,5,47,73,NA,25,118,118,0,118,754,81.1671,18,51.7693,15.7,62.8
Grays Harbor,Taholah High School,10,3,10,6,0,15,16,16,11,78,3.84615,6,58.8235,12.1,42.9
Grays Harbor,Lake Quinault Elementary,5,7,16,NA,5,24,24,0,24,107,59.8131,9,80.1802,5.7,16.7
Grays Harbor,Cosmopolis Elementary School,5,13,20,NA,7,22,22,0,23,219,84.9315,20,37.2093,18.6,63.6
Grays Harbor,Ocosta Junior - Senior High,10,33,50,47,14,58,60,56,54,347,0,14,50.9259,13.5,68
Grays Harbor,Ocosta Elementary School,5,15,22,NA,9,33,31,0,34,362,0,13,63.3152,15.2,60.7
Grays Harbor,Oakville High School,10,5,9,9,2,13,13,14,13,148,61.4865,9,72.7848,15.2,68.8
Grays Harbor,Oakville Elementary,5,7,12,NA,1,18,18,0,18,139,55.3957,13,75.6944,13.2,63.6
Island,Oak Harbor Elementary,5,35,51,NA,27,70,70,0,70,485,60.2062,18,39.6,15.2,55.6
Island,Clover Valley Elementary,5,27,35,NA,18,53,52,0,53,388,71.134,18,45.6693,17,68.2
Island,Oak Harbor High School,10,193,342,333,142,405,410,402,384,1734,71.6263,20,19.7991,11.3,60.5
Island,Crescent Harbor Elem,5,23,35,NA,17,44,44,0,44,386,78.4974,15,50.4155,13,48
Island,Broadview Elementary,5,63,72,NA,44,83,85,0,83,399,67.1679,16,32.3834,15.6,64
Island,Olympic View Elem,5,31,39,NA,18,56,56,0,56,453,54.3046,17,50.1129,13.5,51.9
Island,Hillcrest Elementary,5,51,71,NA,23,102,99,0,104,554,74.7292,19,21.5929,16.9,79.3
Island,Coupeville High School,10,61,83,81,42,97,93,91,94,369,91.5989,14,18.306,16.2,73.1
Island,Coupeville Elementary School,5,47,69,NA,26,95,95,0,95,466,84.7639,15,33.0629,15.6,67.7
Island,South Whidbey High School,10,107,141,134,68,146,148,151,141,702,91.3105,17,13.5569,14.2,61
Island,South Whidbey Intermediate School,5,84,115,NA,57,134,135,0,133,388,88.4021,16,25.8312,17.5,60
Jefferson,Quilcene High And Elementary,5,10,10,NA,6,14,13,0,14,293,90.1024,13,49.4774,14,45.5
Jefferson,Quilcene High And Elementary,10,12,17,17,5,22,18,21,20,293,90.1024,13,49.4774,14,45.5
Jefferson,Chimacum Elementary School,5,41,69,NA,21,85,86,0,85,233,88.412,13,38.3333,18.1,50
Jefferson,Chimacum High School,10,66,91,87,41,108,109,111,100,406,91.6256,16,24.4898,12.9,65.4
Jefferson,Port Townsend High School,10,69,113,108,56,115,119,119,113,607,88.3031,19,27.5338,14.6,53.1
Jefferson,Mountain View Elementary,5,51,77,NA,39,107,106,0,108,642,64.1745,14,44.0909,18.4,65.2
King,African American Academy K-8,5,6,15,NA,2,41,41,0,41,434,1.38249,18,88.7255,9.5,79.2
King,Tops K-8,5,41,51,NA,39,61,62,0,61,529,44.8015,19,20.9125,13.8,57.1
King,Pathfinder K-8,5,18,29,NA,14,37,37,0,35,386,57.772,15,33.1606,9,68
King,Interagency Programs,10,0,7,6,NA,11,13,16,9,514,22.5681,NA,63.5185,NA,NA
King,Home School Resource Center,10,3,9,10,1,10,12,12,10,106,88.6792,NA,18.5567,NA,NA
King,Salmon Bay School,5,33,41,NA,33,43,43,0,43,597,79.062,17,7.80731,9.2,62.9
King,The Center School,10,46,60,61,43,64,62,66,64,280,76.0714,18,11.4391,8.8,75
King,Green Lake Elementary School,5,27,34,NA,24,37,37,0,36,245,66.5306,13,26.6667,15.4,52.6
King,Hay Elementary School,5,51,57,NA,46,60,59,0,60,456,72.3684,17,13.5556,12.4,59.3
King,Madrona K-8,5,7,31,NA,2,48,48,0,48,445,14.6067,19,64.823,10,70.8
King,Beacon Hill Elementary School,5,30,36,NA,22,60,60,0,60,365,8.76712,14,68.2451,15.5,70.4
King,Stevens Elementary School,5,47,51,NA,35,64,64,0,70,419,71.3604,17,74.1379,15.3,54.2
King,John Stanford International Elementary,5,41,54,NA,27,59,57,0,57,393,44.5293,19,23.5602,11.1,61.9
King,Brighton Elementary School,5,15,21,NA,4,37,38,0,38,307,1.62866,16,77.2109,14.6,47.4
King,Coe Elementary School,5,43,52,NA,40,58,58,0,59,419,63.4845,17,20,12.8,50
King,Whittier Elementary School,5,59,66,NA,48,68,69,0,69,412,81.5534,22,6.74699,13,31.6
King,Whitworth Elementary School,5,7,18,NA,5,37,39,0,38,231,1.7316,14,83.1858,18.3,58.8
King,Emerson Elementary School,5,14,28,NA,5,43,43,0,43,561,54.7237,19,52.8399,13.5,43.3
King,Van Asselt Elementary School,5,27,54,NA,15,78,78,0,78,457,1.31291,17,80.0439,12.1,51.9
King,Leschi Elementary School,5,15,31,NA,13,42,41,0,42,206,2.91262,16,75.2212,12.7,46.2
King,Greenwood Elementary School,5,29,35,NA,11,45,46,0,42,381,49.8688,21,49.866,15.2,61.1
King,Adams Elementary School,5,31,40,NA,18,52,51,0,51,354,53.1073,19,36.9942,13.2,52.6
King,Gatewood Elementary School,5,14,29,NA,4,43,43,0,43,274,60.5839,16,32.7138,6.6,52.9
King,Thurgood Marshall Elementary,5,7,19,NA,2,26,26,0,29,292,3.08219,13,85.2601,9.5,68.2
King,West Woodland Elementary School,5,29,35,NA,25,45,44,0,45,347,75.7925,19,11.7994,12.7,33.3
King,John Muir Elementary School,5,22,36,NA,16,44,45,0,46,290,9.31034,16,65.7439,10.5,61.1
King,Alki Elementary School,5,25,31,NA,17,37,37,0,37,337,63.2047,17,30.2053,15.1,50
King,Franklin High School,10,100,186,184,38,211,217,209,203,1482,10.1889,21,44.9455,11.8,59.7
King,Lawton Elementary School,5,38,43,NA,28,45,45,0,45,316,70.8861,19,18.8088,17,58.8
King,Concord Elementary School,5,8,18,NA,3,31,33,0,38,286,10.8392,14,88.8889,10.6,57.1
King,McGilvra Elementary School,5,28,36,NA,24,39,40,0,40,254,71.2598,14,9.6,12.7,83.3
King,Martin Luther King Elementary,5,2,5,NA,2,10,11,0,10,103,6.79612,13,65.7895,16,50
King,Broadview-Thomson Elementary School,5,42,53,NA,30,67,67,0,67,480,41.25,15,42.1589,18,41.9
King,Ballard High School,10,244,325,302,167,350,351,348,343,1672,62.2608,20,23.8806,13.5,65.1
King,West Seattle High School,10,112,225,210,85,246,268,264,246,1298,46.7643,22,32.0988,14.4,56.7
King,Cooper Elementary School,5,8,11,NA,2,25,25,0,25,251,18.3267,16,74.0741,16.7,43.8
King,Olympic View Elementary School,5,42,56,NA,30,62,62,0,65,366,29.5082,15,57.7128,9.1,50
King,Highland Park Elementary School,5,25,44,NA,12,72,71,0,71,425,14.3529,15,78.8732,15.4,58.6
King,Roosevelt High School,10,269,334,325,198,356,360,354,348,1658,58.7455,21,21.5916,14.6,65.4
King,Garfield High School,10,248,314,322,217,349,348,351,341,1595,43.1348,24,22.8923,12,60.6
King,Gatzert Elementary School,5,19,31,NA,13,47,47,0,50,348,4.5977,14,87.9552,11.8,64
King,Dunlap Elementary School,5,16,48,NA,5,63,63,0,67,407,1.7199,17,82.8087,15.8,62.5
King,Montlake Elementary School,5,36,38,NA,27,37,38,0,38,247,63.9676,15,15.9836,13,75
King,Maple Elementary School,5,50,58,NA,34,68,70,0,73,428,7.24299,18,64.5238,14.7,58.3
King,Bryant Elementary School,5,67,71,NA,57,78,78,0,78,513,69.9805,19,8.87574,16.1,48.1
King,Cleveland High School,10,19,60,56,7,82,80,80,79,669,7.92227,19,66.8367,16,82.9
King,Laurelhurst Elementary School,5,45,52,NA,32,50,52,0,53,425,72.7059,17,14.554,12.9,60
King,Daniel Bagley Elementary School,5,20,31,NA,13,36,36,0,36,293,70.3072,18,24.7492,8.4,50
King,Loyal Heights Elementary School,5,35,40,NA,26,45,45,0,45,364,84.8901,17,11.2948,12.9,66.7
King,T T Minor Elementary School,5,8,11,NA,6,22,22,0,23,179,7.82123,13,82.6291,5.5,64.3
King,High Point Elementary School,5,6,16,NA,4,22,23,0,22,155,3.87097,13,91.0828,13.2,50
King,View Ridge Elementary School,5,48,55,NA,44,60,60,0,60,521,61.2284,16,54.6139,17.5,46.9
King,Arbor Heights Elementary School,5,35,49,NA,26,65,64,0,71,328,59.1463,16,38.9571,14.4,40
King,Lafayette Elementary School,5,57,64,NA,36,74,75,0,71,453,68.8742,20,12.2494,17.8,56.5
King,Catharine Blaine K-8,5,37,46,NA,21,55,56,0,56,506,72.1344,19,18.0198,10.6,59.3
King,John Rogers Elementary School,5,34,37,NA,23,47,47,0,47,290,61.3793,16,33.9041,9.6,61.1
King,Olympic Hills Elementary School,5,10,24,NA,8,27,27,0,27,211,21.8009,12,74.2857,10.8,58.8
King,Viewlands Elementary School,5,10,13,NA,5,24,24,0,25,203,52.2167,15,52.7778,15.6,64.3
King,Wedgwood Elementary School,5,44,47,NA,32,50,50,0,49,358,58.3799,18,14.4444,10.3,60
King,Northgate Elementary School,5,9,15,NA,3,30,31,0,30,235,12.766,17,80.6452,15.1,35.7
King,Sacajawea Elementary School,5,26,27,NA,15,37,34,0,34,309,61.165,18,27.4834,12.9,94.1
King,Sealth High School,10,59,95,89,29,131,134,135,124,915,24.6995,20,59.6871,14.3,62.2
King,Roxhill Elementary School,5,15,32,NA,7,46,46,0,47,281,17.4377,14,77.551,17.6,80
King,North Beach Elementary School,5,27,34,NA,24,35,34,0,35,262,79.3893,19,11.9231,9.1,42.9
King,Ingraham High School,10,119,181,173,75,204,211,213,201,1190,36.4706,19,43.2065,13.5,67.7
King,Rainier Beach High School,10,18,40,40,2,65,65,65,64,529,6.61626,20,64.497,11,65.4
King,Graham Hill Elementary School,5,22,28,NA,13,58,57,0,57,325,19.6923,15,52.2599,12.9,45.5
King,Rainier View Elementary School,5,9,19,NA,5,43,43,0,43,413,55.9322,19,27.4314,8.5,68.2
King,Schmitz Park Elementary School,5,37,45,NA,33,49,49,0,49,326,79.4479,20,10.1227,12.8,18.8
King,Kimball Elementary School,5,52,67,NA,29,84,85,0,86,520,20.9615,19,54.491,14.6,57.1
King,Nathan Hale High School,10,149,209,212,112,224,230,231,228,1089,61.5243,20,17.8744,12.1,70.4
King,Fairmount Park Elementary School,5,4,11,NA,1,20,20,0,20,178,25.2809,13,76.0417,11.2,28.6
King,Wing Luke Elementary School,5,34,42,NA,25,52,51,0,54,282,3.19149,16,71.2329,14.1,55.6
King,Sanislo Elementary School,5,28,43,NA,20,53,53,0,55,317,40.0631,19,45.1104,18.1,52.9
King,Lowell Elementary School,5,108,109,NA,106,109,109,0,109,267,79.7753,18,30.7143,9.6,66.7
King,B F Day Elementary School,5,27,30,NA,16,38,38,0,38,262,51.5267,15,42.5101,18.7,58.8
King,Dearborn Park Elementary School,5,7,16,NA,2,43,43,0,47,259,4.2471,14,78.1132,10.7,36.8
King,Nova High School,10,19,32,29,13,33,33,33,32,282,72.695,20,15.3257,7.1,57.1
King,Summit K-12,5,19,27,NA,8,37,39,0,38,658,51.3678,17,44.5113,11.8,65.8
King,Summit K-12,10,10,27,23,7,28,30,30,30,658,51.3678,17,44.5113,11.8,65.8
King,John Marshall High School,10,NA,NA,7,NA,7,8,11,8,170,30.5882,9,59.3407,8.6,72.2
King,Orca (Columbia),5,8,17,NA,6,22,23,0,22,255,48.2353,17,35.1779,15.5,53.3
King,Hawthorne Elementary School,5,20,40,NA,4,63,63,0,63,493,53.3469,17,85.4,13.1,51.7
King,Internet Academy,10,6,15,16,5,18,17,19,18,302,81.1258,NA,3.27869,NA,NA
King,Federal Way Public Academy,10,41,44,44,35,45,44,44,45,308,48.3766,24,12.0915,12.2,76.9
King,Federal Way Senior High School,10,133,263,250,64,322,322,314,278,1606,46.3263,20,28.5714,11.3,58
King,Lakeland Elementary School,5,39,53,NA,16,57,57,0,57,391,67.5192,19,25.5102,9,52.4
King,Mirror Lake Elementary School,5,28,48,NA,19,58,58,0,58,419,35.7995,16,46.506,11.6,33.3
King,Star Lake Elementary School,5,40,51,NA,23,68,68,0,68,432,50.2315,17,28.9888,9.4,24
King,Woodmont Elementary School,5,46,55,NA,32,60,61,0,60,382,43.4555,18,27.7635,11.9,42.9
King,Panther Lake Elementary School,5,38,61,NA,33,69,70,0,69,419,42.0048,17,35.2246,12,54.2
King,Olympic View Elementary School,5,23,39,NA,5,53,51,0,51,366,29.5082,15,57.7128,9.1,50
King,Adelaide Elementary School,5,46,63,NA,24,74,74,0,74,422,50.237,18,32.2581,15.4,45.8
King,Camelot Elementary School,5,26,44,NA,15,55,54,0,55,294,67.3469,16,43.4505,11.1,55.6
King,Sunnycrest Elementary School,5,21,34,NA,14,40,40,0,42,415,28.1928,15,49.7573,12.1,44.4
King,Lake Grove Elementary School,5,37,57,NA,11,73,73,0,73,440,35.6818,18,47.235,9.6,36
King,Valhalla Elementary School,5,55,77,NA,29,86,89,0,91,486,45.0617,18,37.6782,11.6,48.1
King,Wildwood Elementary School,5,28,50,NA,12,67,68,0,68,484,36.157,16,39.7566,12.8,38.7
King,Thomas Jefferson High School,10,246,359,335,162,397,400,404,396,1931,58.6225,22,19.3323,11.9,48.3
King,Nautilus Elementary School,5,41,61,NA,17,76,75,0,75,466,48.927,19,23.4801,11.4,41.7
King,Mark Twain Elementary School,5,36,54,NA,20,88,90,0,90,541,17.9298,17,55.2581,12.7,61.3
King,Twin Lakes Elementary School,5,41,58,NA,12,73,70,0,74,379,64.3799,19,22.8117,11.5,45
King,Brigadoon Elementary School,5,30,51,NA,11,59,59,0,59,376,55.3191,18,26.6846,13.9,47.6
King,Lake Dolloff Elementary School,5,47,59,NA,28,72,73,0,73,469,55.0107,17,31.0345,13.3,35.7
King,Decatur High School,10,171,290,292,111,333,328,332,301,1699,56.0918,23,19.2794,13.5,53.4
King,Silver Lake Elementary School,5,43,59,NA,17,70,70,0,70,449,37.8619,19,35.4767,12.3,37.5
King,Sherwood Forest Elementary School,5,56,80,NA,28,98,99,0,99,566,53.8869,20,25.7391,12.8,51.7
King,H. S. Truman High School,10,12,31,35,5,44,39,41,36,182,67.033,15,31.4103,9.6,50
King,Rainier View Elementary School,5,54,68,NA,21,76,76,0,76,413,55.9322,19,27.4314,8.5,68.2
King,Green Gables Elementary School,5,47,56,NA,35,63,64,0,64,406,63.3005,18,17.7778,15,72.7
King,Enterprise Elementary School,5,41,65,NA,24,77,77,0,79,451,59.867,17,26.5351,15.4,63
King,Meredith Hill Elementary School,5,66,79,NA,48,86,88,0,90,452,71.4602,17,19.6507,13.3,66.7
King,Byron Kibler Elementary School,5,36,60,NA,23,72,73,0,73,498,87.1486,18,26.6129,16.5,64.3
King,Enumclaw Sr High School,10,212,352,324,135,380,395,387,359,1692,92.0804,21,14.5432,11.8,62
King,Black Diamond Elementary,5,22,36,NA,9,40,40,0,40,287,91.6376,14,26.7857,13.9,70
King,Westwood Elementary School,5,44,60,NA,33,74,74,0,76,394,82.9949,15,23.4414,18.1,46.2
King,Southwood Elementary School,5,58,109,NA,45,129,129,0,130,434,86.8664,16,27.4157,12.4,67.9
King,Sunrise Elementary,5,17,21,NA,8,28,28,0,28,511,94.5205,16,12.8107,13.2,65.6
King,Lakeridge Elementary School,5,104,109,NA,72,114,113,0,114,538,80.4833,14,0.907441,10.4,65.8
King,Mercer Island High School,10,321,369,362,283,366,374,375,355,1460,77.8767,16,0.938967,12.2,79.1
King,Island Park Elementary,5,90,92,NA,70,95,96,0,98,520,75.9615,14,1.88679,16.3,63.9
King,West Mercer Elementary,5,122,122,NA,84,133,133,0,134,606,76.7327,14,2.41935,13.1,67.4
King,Mount View Elementary,5,27,46,NA,9,81,81,0,80,621,15.781,19,72.1781,9.7,53.1
King,Highline High School,10,102,220,196,65,260,265,270,260,1510,55.8278,22,37.4377,16,48.5
King,Des Moines Elementary,5,27,47,NA,11,61,61,0,62,413,57.8692,21,39.5631,12.5,40
King,White Center Heights Elementary,5,21,34,NA,6,62,61,0,61,493,12.7789,17,83.7573,10.6,44.8
King,Hazel Valley Elementary,5,32,59,NA,13,95,95,0,95,612,29.7386,20,61.0435,11.5,60
King,McMicken Heights Elementary,5,26,39,NA,13,69,69,0,69,450,29.5556,21,69.877,9.2,38.1
King,Beverly Park Elem at Glendale,5,18,32,NA,6,73,73,0,73,538,23.7918,20,76.2808,10.9,51.9
King,Shorewood Elementary,5,18,27,NA,8,42,42,0,42,322,50,19,50.6061,9,70.6
King,Gregory Heights Elementary,5,33,65,NA,18,82,84,0,82,547,57.2212,19,41.4591,12.1,41.4
King,Cedarhurst Elementary,5,13,34,NA,2,46,46,0,45,388,28.0928,17,72.5962,5.8,65.2
King,Bow Lake Elementary,5,21,33,NA,12,53,54,0,54,390,26.6667,16,69.0998,14.6,72
King,Midway Elementary,5,8,26,NA,3,56,57,0,57,495,22.8283,18,74.6331,11.3,37
King,Southern Heights Elementary,5,20,29,NA,3,41,42,0,40,307,34.202,17,62.7586,10.7,61.1
King,Marvista Elementary,5,60,74,NA,39,84,86,0,85,550,76.3636,21,15.2212,14.4,42.3
King,Evergreen High School,10,87,184,180,48,243,252,252,237,2314,81.4607,16,29.9679,13.2,66.4
King,Hilltop Elementary,5,18,38,NA,7,70,70,0,70,481,74.6362,18,20,13,66.7
King,Madrona Elementary,5,17,39,NA,7,78,79,0,78,647,14.8377,21,82.4176,8,54.8
King,Mount Rainier High School,10,128,213,198,94,235,239,239,228,1314,62.9376,23,28.4795,15.4,51.7
King,Parkside Elementary,5,34,53,NA,22,79,79,0,79,514,35.6031,21,59.2453,10,50
King,Seahurst Elementary School,5,20,39,NA,5,65,66,0,65,597,30.6533,19,67.193,10.4,53.1
King,Tyee High School,10,57,152,118,29,217,221,223,214,1142,34.9387,20,52.7154,8.8,68.4
King,Valley View Elementary,5,20,32,NA,11,34,34,0,34,213,63.8498,16,29.6117,14.5,69.2
King,Vashon Island High School,10,88,118,119,64,122,125,126,121,527,88.8046,16,9.4697,14.5,64.7
King,Chautauqua Elementary,5,54,66,NA,34,86,85,0,87,632,85.7595,17,14.3079,15.4,56.8
King,Home Program @ Honeydew,10,4,NA,NA,NA,10,7,9,7,137,67.1533,NA,7.91367,NA,NA
King,Black River High School,10,4,10,7,1,20,18,20,20,130,30,10,61.0169,11.9,38.5
King,Bryn Mawr Elementary School,5,14,29,NA,11,56,56,0,56,362,14.9171,13,58.9674,11.7,77.8
King,Renton Senior High School,10,83,171,173,34,239,245,235,223,1083,19.2982,20,47.8901,10.3,50.9
King,Kennydale Elementary School,5,48,58,NA,33,76,76,0,76,420,52.1429,18,33.4112,11.9,69.6
King,Highlands Elementary School,5,28,56,NA,25,94,93,0,94,610,30.9836,18,64.5733,8.9,61.8
King,Lakeridge Elementary School,5,12,27,NA,5,50,51,0,49,538,80.4833,14,0.907441,10.4,65.8
King,Campbell Hill Elementary School,5,13,32,NA,7,73,73,0,73,361,9.9723,16,71.1864,16.9,63.6
King,Cascade Elementary School,5,30,54,NA,20,78,78,0,78,397,85.3904,16,42.394,10.7,56
King,Hazelwood Elementary School,5,51,67,NA,35,78,78,0,78,610,73.9344,20,31.9805,11.6,71
King,Renton Park Elementary School,5,35,50,NA,22,82,82,0,83,413,40.678,16,46.5721,10.3,65.4
King,Maplewood Heights Elementary School,5,54,66,NA,41,96,95,0,98,494,59.1093,15,29.4239,13,54.5
King,Benson Hill Elementary School,5,45,72,NA,30,91,89,0,95,529,51.0397,17,43.5115,14.7,67.7
King,Hazen Senior High School,10,161,249,242,85,305,306,302,296,1278,61.2676,18,28.4711,13.9,45.7
King,Sierra Heights Elementary School,5,42,62,NA,30,88,88,0,88,566,46.8198,18,35.6048,15.1,56.3
King,Tiffany Park Elementary School,5,34,50,NA,22,68,69,0,68,482,45.6432,17,56.5844,7.8,72.4
King,Talbot Hill Elementary School,5,44,56,NA,18,76,76,0,77,484,34.5041,17,34.5679,13.4,46.4
King,Lindbergh Senior High School,10,107,209,204,74,272,274,268,258,1242,53.6232,21,34.9787,13.9,54.2
King,Bellevue High School,10,277,354,347,188,359,370,367,350,1510,67.8808,20,11.4035,9.2,61.3
King,Enatai Elementary School,5,39,52,NA,36,54,56,0,57,412,64.0777,15,19.4175,8.5,71.4
King,Clyde Hill Elementary,5,74,78,NA,39,87,87,0,87,519,63.3911,21,8.06142,10.2,52
King,Eastgate Elementary School,5,52,56,NA,42,69,68,0,70,424,60.3774,18,19.3473,8.1,43.5
King,Stevenson Elementary,5,65,77,NA,56,91,91,0,90,514,22.5681,16,42.7767,5.6,57.6
King,Woodridge Elementary,5,45,51,NA,34,59,59,0,58,383,54.3081,17,25.6997,8.4,52.2
King,Phantom Lake Elementary,5,35,43,NA,23,57,57,0,57,420,52.619,16,29.3362,9.7,57.7
King,Puesta del Sol Elementary School,5,40,57,NA,30,60,60,0,60,440,68.6364,21,5.68182,14.2,76.2
King,Lake Hills Elementary,5,37,47,NA,21,64,63,0,66,417,40.7674,13,59.8624,6.4,61.3
King,Sammamish Senior High,10,140,230,210,102,265,265,263,257,1223,55.8463,18,30.303,9.4,52.2
King,Sherwood Forest Elementary,5,23,30,NA,16,35,37,0,38,330,42.1212,13,49.8462,9.5,46.2
King,Medina Elementary School,5,65,71,NA,51,73,73,0,73,433,73.2102,17,2.92793,8.8,53.8
King,Newport Heights Elementary,5,86,98,NA,63,108,109,0,109,564,59.5745,18,17.801,7.8,62.5
King,Newport Senior High School,10,319,393,392,250,395,400,399,389,1518,55.4677,21,8.84126,12.2,62
King,Interlake Senior High School,10,113,156,150,82,177,177,176,174,792,59.4697,15,33.1586,8.6,57.7
King,Ardmore Elementary School,5,23,32,NA,18,43,43,0,43,280,37.1429,15,46.0481,6.9,73.7
King,Spiritridge Elementary School,5,42,52,NA,41,59,57,0,60,299,64.8829,15,24.5902,6.6,35
King,Bennett Elementary School,5,54,61,NA,45,69,69,0,69,401,63.0923,18,11.1675,6.1,63.6
King,Cherry Crest Elementary School,5,49,55,NA,38,61,61,0,62,382,70.6806,17,3.97878,9.7,72.7
King,Somerset Elementary School,5,95,99,NA,75,113,113,0,114,597,39.3635,19,5.15298,12.6,54.8
King,Foster Senior High School,10,58,119,124,24,167,170,165,142,786,35.2417,19,50.5051,10.8,61
King,Cascade View Elementary,5,18,35,NA,10,63,64,0,71,614,88.2736,17,18.0534,11.9,36.1
King,Tukwila Elementary,5,18,40,NA,17,71,70,0,71,475,29.8947,14,58.9691,10.4,42.9
King,Thorndyke Elementary,5,17,27,NA,13,54,54,0,55,441,23.356,16,74.3649,11,75
King,Carnation Elementary School,5,30,58,NA,26,67,67,0,67,416,81.25,17,20.6731,13.9,37.5
King,Cherry Valley Elementary School,5,47,60,NA,27,88,88,0,89,448,81.0268,19,13.2321,13.8,52.2
King,Cedarcrest High School,10,134,181,180,94,213,217,214,198,866,90.7621,21,10.3488,13.7,50
King,Stillwater Elementary,5,48,68,NA,29,84,84,0,84,480,90.4167,19,10.4082,14.8,52
King,Washington Elementary School,5,25,32,NA,11,57,57,0,57,398,59.799,17,53.7662,7.3,62.5
King,Terminal Park Elementary School,5,55,64,NA,40,86,86,0,86,413,64.891,18,60.628,9.7,60.9
King,West Auburn Senior High School,10,7,32,28,2,48,49,51,32,262,64.1221,17,47.0588,14.9,66.7
King,Auburn Senior High School,10,144,334,333,84,402,414,417,361,1985,70.7305,20,29.4748,13,59.4
King,Dick Scobee Elementary School,5,30,40,NA,10,68,68,0,68,428,59.5794,18,55.5305,9,50
King,Pioneer Elementary School,5,24,52,NA,16,76,75,0,76,418,46.89,17,64.0732,11,45.8
King,Chinook Elementary School,5,29,37,NA,12,72,72,0,73,461,36.4425,16,57.9741,12,71.4
King,Lea Hill Elementary School,5,70,88,NA,43,124,124,0,124,634,65.7729,19,48.2496,10,75.8
King,Gildo Rey Elementary School,5,67,82,NA,53,92,93,0,94,654,58.4098,19,45.4681,9.1,58.8
King,Evergreen Heights Elementary,5,36,46,NA,19,56,56,0,56,343,62.0991,19,45.3488,16,72.2
King,Alpac Elementary School,5,45,71,NA,29,95,97,0,96,517,60.3482,18,51.6068,10,42.9
King,Lake View Elementary School,5,50,72,NA,36,97,98,0,97,460,80.8696,18,22.8571,11.8,65.4
