County,School,GradeTested,MathMetStandard,ReadingMetStandard,WritingMetStandard,ScienceMetStandard,MathTotalTested,ReadingTotalTested,WritingTotalTested,ScienceTotalTested,TotalEnrollment,PercentWhite,StudentsPerClassroomTeacher,FreeorReducedPricedMeals,AvgYearsEducationalExperience,PercentTeachersWithAtLeastMasterDegree
Chelan,Morgen Owings Elementary School,5,43,66,NA,27,86,88,0,87,515,46.0194,14,58.1081,15.3,52.8
Chelan,Chelan High School,10,59,81,89,38,98,97,97,93,373,65.1475,14,44.4142,13.6,65.4
Chelan,Cashmere Middle School,5,38,61,NA,27,94,93,0,95,461,63.1236,16,48.7179,13.7,60.7
Chelan,Cashmere High School,10,40,88,85,20,95,103,100,96,505,73.8614,17,34.8089,14,62.1
Chelan,Osborn Elementary,5,46,67,NA,34,81,81,0,81,374,67.3797,14,48.7179,17.5,65.4
Chelan,Cascade High School,10,58,102,95,33,118,118,119,110,502,74.9004,15,38.4298,13.7,54.5
Chelan,Westside High School,10,8,26,25,3,28,31,30,25,248,61.2903,16,47.2477,17.6,50
Chelan,Valley Academy Of Learning,5,7,14,NA,2,16,16,0,16,175,0,58,23.1214,11.8,33.3
Chelan,Wenatchee High School,10,218,353,302,130,446,436,440,400,2095,65.7279,19,26.0246,13.5,57.4
Chelan,Lewis And Clark Elementary Sch,5,40,58,NA,30,72,72,0,73,422,41.2322,14,73.4554,12.7,56.7
Chelan,Columbia Elementary School,5,37,50,NA,22,80,81,0,80,200,88.5,14,31.9048,16.3,64.3
Chelan,Mission View Elementary School,5,50,68,NA,33,102,101,0,101,475,46.5263,13,69.0428,11.6,42.1
Chelan,Washington Elementary School,5,54,65,NA,42,79,79,0,79,398,59.799,17,53.7662,7.3,62.5
Chelan,Sunnyslope Elementary School,5,49,54,NA,38,62,62,0,62,441,81.8594,15,34.0564,17.5,58.6
Chelan,Abraham Lincoln Elementary,5,38,58,NA,27,85,85,0,85,576,42.5347,15,67.0103,10,71.8
Chelan,John Newbery Elementary,5,57,70,NA,46,93,92,0,93,535,61.8692,17,42.7203,13.5,71
Clallam,Fairview Elementary,5,32,40,NA,19,50,50,0,50,317,87.6972,15,39.185,11.4,38.1
Clallam,Jefferson Elementary,5,24,34,NA,18,39,40,0,39,481,76.9231,20,28.5124,15.9,45.8
Clallam,Port Angeles High School,10,184,293,290,126,315,324,318,314,1486,86.541,19,25.6815,15.5,66.2
Clallam,Franklin Elementary,5,38,63,NA,37,70,70,0,70,493,71.1968,17,6.07287,13.7,34.5
Clallam,Hamilton Elementary,5,28,52,NA,22,55,62,0,65,419,87.1122,17,52.3474,14.1,54.2
Clallam,Dry Creek Elementary,5,29,41,NA,31,49,47,0,52,389,74.8072,15,55.7592,12.8,57.7
Clallam,Crescent School,5,4,10,NA,4,12,11,0,12,183,81.9672,10,27.4611,15.3,63.2
Clallam,Crescent School,10,6,11,13,7,12,13,13,11,183,81.9672,10,27.4611,15.3,63.2
Clallam,Sequim Community School,10,5,16,15,4,18,21,19,18,147,85.7143,16,31.5789,15.1,77.8
Clallam,Sequim Senior High,10,117,203,195,79,226,236,233,188,1059,85.0803,20,24.9278,14.4,48.1
Clallam,Helen Haller Elementary School,5,52,81,NA,33,97,99,0,106,607,82.5371,16,46.7846,15.1,64.1
Clallam,Greywolf Elementary School,5,53,69,NA,39,79,82,0,85,553,86.0759,17,38.4342,14.8,60.6
Clallam,Neah Bay Junior/ Senior High School,10,5,14,15,4,16,17,17,17,147,5.44218,5,61.0294,9.5,28.1
Clallam,Clallam Bay High & Elementary,5,12,19,NA,9,25,25,0,25,189,70.8995,9,63.2124,12,42.9
Clallam,Clallam Bay High & Elementary,10,8,11,11,5,11,11,11,11,189,70.8995,9,63.2124,12,42.9
Clallam,Forks High School,10,26,54,54,24,73,66,68,71,328,72.561,11,37.8289,14.6,46.7
Clallam,Forks Elementary School,5,25,50,NA,33,81,81,0,89,596,55.2013,18,67.8694,15.2,67.6
Clark,Vancouver School of Arts and Academics,10,54,71,71,48,74,75,74,73,561,85.205,14,13.7615,17.3,77.5
Clark,Fort Vancouver High School,10,112,221,216,52,316,318,323,278,1534,68.3181,18,55.9481,13.1,58.1
Clark,Lincoln Elementary School,5,43,58,NA,14,78,78,0,77,431,76.5661,17,37.788,11.7,73.1
Clark,Hough Elementary School,5,21,33,NA,8,40,39,0,40,296,73.3108,17,47.1831,9.6,76.5
Clark,Fruit Valley Elementary School,5,12,15,NA,5,28,29,0,29,200,65,13,72.4138,11.8,73.3
Clark,Harney Elementary School,5,21,30,NA,6,57,56,0,58,390,61.2821,18,68.1934,12.9,63.6
Clark,Peter S Ogden Elementary,5,33,44,NA,12,73,74,0,75,451,56.541,16,76.383,6.3,46.4
Clark,Hazel Dell Elementary School,5,29,47,NA,11,83,83,0,82,451,73.6142,20,48.3264,13.5,82.6
Clark,Minnehaha Elementary School,5,30,57,NA,20,97,98,0,98,526,74.3346,19,48.5822,11.7,88.9
Clark,Walnut Grove Elementary,5,42,72,NA,11,94,95,0,96,661,76.8533,20,41.2037,12.6,63.6
Clark,Salmon Creek Elementary,5,40,42,NA,24,81,82,0,83,521,84.0691,22,23.1499,20,66.7
Clark,Sarah J Anderson Elementary,5,59,81,NA,23,135,135,0,133,678,61.2094,21,47.4747,8.5,78.1
Clark,Lake Shore Elementary,5,75,81,NA,65,97,97,0,99,555,83.964,20,16.6667,12.1,60.7
Clark,Benjamin Franklin Elementary,5,18,29,NA,11,39,39,0,39,250,80.4,16,29.6154,15,62.5
Clark,Hudson's Bay High School,10,107,250,251,47,320,327,328,294,1542,76.3294,20,45.2466,12.9,68.8
Clark,Columbia River High,10,190,253,250,140,272,273,278,265,1325,85.8113,21,14.7268,14.5,71.9
Clark,George C Marshall Elementary,5,28,52,NA,24,62,62,0,63,411,75.4258,19,44.2455,15.6,63.6
Clark,Washington Elementary,5,19,32,NA,5,51,52,0,51,936,11.6453,17,88.0773,14.2,67.3
Clark,Dwight D Eisenhower Elementary,5,32,40,NA,16,57,58,0,68,404,75.495,18,42.3773,14,68.2
Clark,Martin Luther King Elementary,5,25,46,NA,9,70,71,0,73,103,6.79612,13,65.7895,16,50
Clark,Harry S Truman Elementary School,5,54,72,NA,33,95,95,0,95,537,70.3911,21,50.0942,16.4,69.2
Clark,Lewis And Clark High School,10,13,54,47,5,65,73,75,52,405,77.284,24,38.1423,15.9,64.7
Clark,Sacajawea Elementary School,5,21,45,NA,14,66,66,0,68,309,61.165,18,27.4834,12.9,94.1
